city,lng,lat
Hechi,109.6091,23.0965
Seattle,-122.3244,47.6211
Loudi,111.9974,27.7378
Binzhou,118.0125,37.3806
Liuzhou,109.4069,24.3181
Yokohama,139.6333,35.4333
Baojishi,107.1751,34.3609
Guang’an,106.6336,30.4673
Hanzhong,107.026,33.0794
Kabul,69.1658,34.5328
Zaozhuang,117.55,34.8667
Berlin,13.3833,52.5167
Anshan,122.9895,41.1066
Deyang,104.395,31.1289
Lanzhou,103.8318,36.0617
Chengde,117.9322,40.9739
San Francisco,-122.443,37.7562
Puyang,115.03,35.7639
Suining,105.5737,30.5098
Jiaozuo,113.2304,35.229
Bengbu,117.3531,32.9354
Montréal,-73.5617,45.5089
Detroit,-83.1024,42.3834
Baicheng,106.6194,23.901
Busan,129.0403,35.1
Algiers,3.0586,36.7764
Qincheng,105.7311,34.5809
Taiyuan,112.5425,37.8733
Lucknow,80.947,26.847
Chaoyang,120.4486,41.5757
Leshan,103.7575,29.5854
Yulinshi,109.7388,38.2655
Siping,124.3644,43.1715
Madrid,-3.6919,40.4189
Jinan,116.9833,36.6667
Shiyan,110.7755,32.6351
Changzhi,113.097,36.1953
San Diego,-117.1225,32.8312
Faisalabad,73.079,31.418
Santa Cruz,-63.1975,-17.7892
Bazhou,106.7559,31.8576
Zhongshan,113.35,22.5333
Zhenjiang,119.4551,32.2109
Ürümqi,87.6,43.825
Tongliao,122.264,43.6172
Heyuan,114.6923,23.7503
Tongren,109.1885,27.7233
Qinzhou,108.6167,21.95
Jaipur,75.8667,26.9167
Xinzhou,112.7233,38.4178
Addis Ababa,38.7369,9.0272
Giza,31.2118,29.987
Meishan,103.8381,30.0575
Brasília,-48.0773,-15.7744
Mashhad,59.6042,36.3069
Jinzhou,121.1292,41.1144
Tieling,123.8365,42.2841
Shaoguan,113.5927,24.8011
Shanwei,115.3331,22.7664
Minneapolis,-93.2678,44.9635
Kyiv,30.5236,50.45
Sanaa,44.2,15.35
Quezon City,121.0333,14.6333
Dingxi,104.6263,35.5806
Salvador,-38.5108,-12.9708
Incheon,126.6486,37.4639
Bursa,29.0667,40.1833
Ningde,119.5167,26.6667
Tampa,-82.4451,27.9942
Daqing,125.008,46.5979
Birmingham,-1.9025,52.48
Putian,119.0103,25.4394
Huzhou,120.0958,30.8695
Wuzhou,111.3167,23.4833
Denver,-104.8759,39.7621
Rome,12.4828,41.8931
La Paz,-68.1475,-16.4942
Pyongyang,125.73,39.03
Kano,8.5167,12.0
Taichung,120.6667,24.15
Omdurman,32.4629,15.6835
Zigong,104.7645,29.3498
Qinhuangdao,119.5881,39.9398
Mudanjiang,129.5997,44.5861
Huludao,120.8378,40.7094
Kaohsiung,120.3,22.6167
Xiangtan,112.9228,27.8431
Guayaquil,-79.8833,-2.1833
Rizhao,119.4331,35.4164
Manchester,-2.2453,53.4794
Cawnpore,80.3311,26.4725
Baotou,109.8345,40.6562
Taipei,121.5319,25.0478
Nanping,118.1728,26.6448
Longyan,117.0244,25.0881
Ibadan,3.9167,7.3964
Hohhot,111.6629,40.8151
Chaozhou,116.63,23.67
Antananarivo,47.5214,-18.9386
Longba,105.349,33.535
Weihai,122.1,37.5
Chattogram,91.8325,22.335
Santo Domingo,-69.8933,18.4764
Xuanzhou,118.7518,30.9475
Sanming,117.6302,26.2658
Brooklyn,-73.9496,40.6501
Medellín,-75.5748,6.2447
Brisbane,153.0281,-27.4678
Baoshan,99.169,25.1211
Dubai,55.3094,25.2697
Luohe,114.0109,33.583
Qinbaling,107.64,35.7278
Mirzāpur,82.58,25.15
Guangyuan,105.8398,32.4353
Cali,-76.5197,3.44
Daegu,128.6,35.8667
Fortaleza,-38.5275,-3.7275
Guatemala City,-90.5252,14.6099
Yaoundé,11.5181,3.8578
Douala,9.7,4.05
Jilin,126.55,43.85
Lianshan,120.83,40.7503
Lincang,100.0871,23.8864
Antalya,30.6956,36.9081
Tashkent,69.2667,41.3
Huangshi,115.0326,30.2018
Bandung,107.5667,-6.95
Nāgpur,79.0831,21.1539
Dandong,124.3833,40.1167
Huainan,117.0164,32.4831
Shangzhou,109.9244,33.868
Bekasi,107.0,-6.2333
Ghāziābād,77.4167,28.6667
Tijuana,-117.0333,32.525
Jiamusi,130.3653,46.8081
Yangjiang,111.9627,21.8556
Accra,-0.187,5.6037
Yuxi,102.5432,24.3495
Fushun,123.8917,41.8708
Anshun,105.934,26.2456
Vancouver,-123.1,49.25
Tangerang,106.6319,-6.1783
Konya,32.4847,37.8714
Queens,-73.7976,40.7498
Yingkou,122.2297,40.6653
Adana,35.325,37.0
Medan,98.6667,3.6667
Sanmenxia,111.195,34.7736
Indore,75.8472,22.7206
Ma’anshan,118.3605,31.7135
Pingliang,106.6819,35.5412
Quzhou,118.8763,28.9545
Baku,49.8352,40.3667
Gaoping,106.13,30.7804
Huaibei,116.789,33.9562
Xining,101.7787,36.6239
Yan’an,109.4863,36.5952
Havana,-82.3589,23.1367
Phnom Penh,104.921,11.5696
Fukuoka,130.4019,33.5903
Mogadishu,45.3425,2.0408
Jincheng,112.8483,35.4906
Lishui,119.9167,28.45
Qingyang,118.5792,24.8141
Riverside,-117.3948,33.9381
Baltimore,-76.6144,39.3051
Haiphong,106.6667,20.8
Las Vegas,-115.2654,36.2333
Laibin,109.2333,23.7333
Rawalpindi,73.0679,33.6007
Kumasi,-1.6167,6.6833
Portland,-122.65,45.5372
Vadodara,73.2,22.3
Perth,115.8589,-31.9522
Puning,116.1586,23.2993
San Antonio,-98.5253,29.4658
Haikou,110.32,20.02
Vishākhapatnam,83.3167,17.7333
Gaziantep,37.3833,37.0667
Minsk,27.5618,53.9022
St. Louis,-90.2451,38.6358
Bamako,-7.9922,12.6458
Quito,-78.5097,-0.2186
Pingxiang,113.85,27.6333
Chongzuo,107.3667,22.4167
Şanlıurfa,38.7917,37.1583
Kananga,22.4488,-5.897
Peshawar,71.5,34.0
Sapporo,141.3544,43.0621
Jixi,130.965,45.2937
Caracas,-66.9333,10.5
Fuxin,121.6486,42.0127
Leeds,-1.5492,53.7997
Sacramento,-121.4683,38.5667
Blantyre,35.0058,-15.7861
Tainan,120.1833,22.9833
Bucharest,26.0833,44.4
Wuwei,102.6329,37.9278
Bhopāl,77.4167,23.25
Curitiba,-49.2719,-25.4297
Xiping,113.3,40.08
Asunción,-57.6333,-25.3
Saidu Sharif,72.3572,34.75
Vienna,16.3731,48.2083
Aleppo,37.15,36.2
Hamburg,10.0,53.55
Meru,37.65,0.05
Brazzaville,15.2833,-4.2667
Orlando,-81.3369,28.4772
Mersin,34.6167,36.8
Almaty,76.9,43.25
Barranquilla,-74.8,10.96
Kyōto,135.7669,35.0111
Manaus,-60.0167,-3.1
Liaoyang,123.1772,41.2643
Baiyin,104.1766,36.5448
San Jose,-121.8486,37.3019
Warsaw,21.0333,52.2167
Shengli,118.4667,37.45
Lubumbashi,27.4581,-11.6697
Damascus,36.2919,33.5131
Shuyangzha,118.7734,34.1299
Shangqiu,115.65,34.4504
Eşfahān,51.6675,32.6447
Budapest,19.0408,47.4983
Heihe,127.4886,50.2458
Lusaka,28.2833,-15.4167
Diyarbakır,40.2367,37.9108
Chinchvad,73.8131,18.6278
Shuozhou,112.4292,39.3408
Vitória,-40.366,-20.324
Cleveland,-81.6804,41.4767
Pittsburgh,-79.9762,40.4396
Mecca,39.8261,21.4225
Patna,85.1414,25.61
Mosul,43.1167,36.3667
Austin,-97.7522,30.3004
Sanzhou,108.4,30.82
Conakry,-13.7122,9.5092
Kampala,32.5811,0.3136
Ecatepec,-99.06,19.6097
Cincinnati,-84.5061,39.1413
Makassar,119.4136,-5.1331
Yushan,120.9766,31.3867
Ludhiāna,75.8486,30.9083
Newcastle,-1.6578,55.0077
Depok,106.8225,-6.394
Zhongli,121.2168,24.965
Kansas City,-94.5541,39.1239
Rabat,-6.8361,34.0253
Ouagadougou,-1.5353,12.3572
Davao,125.6,7.0667
Manhattan,-73.9662,40.7834
Semarang,110.4167,-6.9667
Yinchuan,106.2254,38.4795
Multan,71.4711,30.1978
Caloocan City,120.9667,14.65
Harare,31.0522,-17.8292
Novosibirsk,82.9167,55.0333
Chengtangcun,117.15,35.0833
Āgra,78.02,27.18
Karaj,50.9915,35.8327
Indianapolis,-86.1458,39.7771
Jingdezhen,117.2036,29.2942
Puebla,-98.1833,19.0333
Kalyān,73.1602,19.2502
Madurai,78.1194,9.9197
Gujranwala,74.1833,32.15
Benxi,123.761,41.292
Jamshedpur,86.1833,22.8
Zhuhai,113.5678,22.2769
Recife,-34.8808,-8.0539
Columbus,-82.985,39.9862
Tabrīz,46.2833,38.0833
Maracaibo,-71.6333,10.6333
Beihai,109.1,21.4667
Shuangyashan,131.1545,46.6388
Kōbe,135.183,34.6913
Charlotte,-80.8304,35.208
Yucheng,103.0007,29.9888
Changshu,120.7333,31.65
Ximeicun,118.3811,24.9633
Jianguang,115.7833,28.1958
Gwangju,126.9167,35.1667
Xushan,121.2665,30.1697
Guiping,110.0833,23.4
Nāsik,73.7833,20.0
Porto Alegre,-51.23,-30.0328
Zhangjiajie,110.4844,29.1255
Valencia,-68.0,10.1667
Virginia Beach,-76.0435,36.7335
Daejeon,127.385,36.351
Munich,11.5755,48.1372
Yekaterinburg,60.6128,56.8356
Auckland,174.7833,-36.85
Yunfu,112.0353,22.9242
Huangshan,118.3151,29.7132
Huazhou,112.079,32.6832
Shīrāz,52.5425,29.61
León de los Aldama,-101.6833,21.1167
Pizhou,118.0097,34.3422
Palembang,104.7644,-2.9833
Kharkiv,36.2292,50.0
Kawanakajima,139.705,35.53
Lianjiang,110.2794,21.6146
Chizhou,117.4849,30.6583
Leizhou,110.0806,20.9147
Guyuan,106.2782,36.008
Rui’an,120.6526,27.778
Birstall,-1.12,52.6736
Muscat,58.5922,23.6139
Hebi,114.2887,35.7497
Jingling,113.1667,30.6667
Bronx,-73.8662,40.8501
The Hague,4.27,52.08
Owerri,7.0333,5.4833
Sharjah,55.3919,25.3575
Farīdābād,77.3167,28.4333
Ulaanbaatar,106.9172,47.9203
Goiânia,-49.2539,-16.6789
Belém,-48.5039,-1.4558
Kayseri,35.4833,38.7333
Yueqing,120.9621,28.1188
Belgrade,20.4667,44.8167
Pingdu,119.9556,36.7833
Aurangābād,75.32,19.88
Yutan,112.554,28.3147
Wenling,121.3718,28.3797
Islamabad,73.0369,33.6989
Milwaukee,-87.9673,43.0642
Milan,9.19,45.4669
Sofia,23.3241,42.6975
Adelaide,138.6011,-34.9289
Samsun,36.33,41.2867
Rājkot,70.7984,22.2969
Khulna,89.55,22.8167
Córdoba,-64.1833,-31.4167
Guarulhos,-46.5333,-23.4667
Juárez,-106.487,31.7386
Prague,14.4167,50.0833
Montevideo,-56.1667,-34.8667
Mbuji-Mayi,23.5967,-6.1209
Fuqing,119.3735,25.7232
Xintai,117.78,35.91
Doha,51.5333,25.3
Saitama,139.6453,35.8617
Hiroshima,132.4553,34.3853
Meerut,77.7,28.99
Yushu,126.5451,44.8249
Rongcheng,104.0966,26.2312
Yangquan,113.5762,37.8576
Haicheng,122.7474,40.8523
Gaozhou,110.8461,21.9392
Yingtan,117.0,28.2333
Huaiyin,119.03,33.58
Wuzhong,106.1919,37.9874
Jabalpur,79.9333,23.1667
Thāne,72.9633,19.18
Zhangye,100.4553,38.9355
Rucheng,120.5634,32.3852
Nizhniy Novgorod,44.0075,56.3269
Comayagüela,-87.2167,14.0833
Yangshe,120.5512,31.8775
Dhanbād,86.435,23.7928
Laiwu,117.6667,36.1833
Kazan,49.1144,55.7908
Dayan,100.2208,26.8808
Suwon,127.01,37.2858
Jiangyin,120.2653,31.9087
Yongcheng,116.4459,33.9317
Calgary,-114.0667,51.05
Cần Thơ,105.7833,10.0333
Abuja,7.4914,9.0556
Yiwu,120.0698,29.3081
Mandalay,96.0869,21.9769
Beidao,105.92,34.6
Al Başrah,47.81,30.4889
Shuangshui,104.8333,26.5944
Sevilla,-5.9731,37.3828
Vila Velha,-51.2167,3.2167
Allahābād,81.84,25.455
Vārānasi,83.0128,25.3189
Tunis,10.18,36.8008
Chelyabinsk,61.4,55.15
Mombasa,39.6667,-4.05
Providence,-71.4187,41.823
Qom,50.8789,34.6461
Maiduguri,13.15,11.8333
Maputo,32.5764,-25.9153
Rosario,-60.6394,-32.9575
Benin City,5.6145,6.3176
Xinyu,114.9242,27.795
Ahvāz,48.6692,31.3203
Dublin,-6.2658,53.3425
Jacksonville,-81.6749,30.3322
Medina,39.6,24.4667
Srīnagar,74.8061,34.0911
Omsk,73.3833,54.9667
Cilacap,109.017,-7.7167
Xiantao,113.4,30.3833
Bandar Lampung,105.2625,-5.4294
Samara,50.1167,53.1833
Guankou,113.625,28.1417
Ulsan,129.3167,35.55
